measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,Organ,metric_id,metric_name,year,val
27,Probability of death,552,New Hampshire,1,Male,162,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,3.37E-05
27,Probability of death,552,New Hampshire,2,Female,162,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,2.25E-05
27,Probability of death,552,New Hampshire,1,Male,169,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.005708518
27,Probability of death,552,New Hampshire,2,Female,169,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.003773968
27,Probability of death,552,New Hampshire,1,Male,228,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.043593578
27,Probability of death,552,New Hampshire,2,Female,228,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.043476902
27,Probability of death,552,New Hampshire,1,Male,231,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.04073049
27,Probability of death,552,New Hampshire,2,Female,231,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.042184327
27,Probability of death,552,New Hampshire,1,Male,232,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.009587797
27,Probability of death,552,New Hampshire,2,Female,232,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.007239648
27,Probability of death,552,New Hampshire,1,Male,234,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.031295093
27,Probability of death,552,New Hampshire,2,Female,234,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.036955191
27,Probability of death,552,New Hampshire,1,Male,235,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.02577596
27,Probability of death,552,New Hampshire,2,Female,235,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.031364234
27,Probability of death,552,New Hampshire,1,Male,238,0-14 years,526,Digestive diseases,stomach,8,Probability of death,2022,1.70E-05
27,Probability of death,552,New Hampshire,2,Female,238,0-14 years,526,Digestive diseases,stomach,8,Probability of death,2022,5.52E-06
27,Probability of death,552,New Hampshire,1,Male,243,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.015877052
27,Probability of death,552,New Hampshire,2,Female,243,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.01553117
27,Probability of death,552,New Hampshire,1,Male,284,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.005678863
27,Probability of death,552,New Hampshire,2,Female,284,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.003748908
27,Probability of death,552,New Hampshire,1,Male,388,0-14 years,526,Digestive diseases,stomach,8,Probability of death,2022,1.04E-05
27,Probability of death,552,New Hampshire,2,Female,388,0-14 years,526,Digestive diseases,stomach,8,Probability of death,2022,5.68E-06
